Unnamed: 0,query,gpt-3.5-turbo,gemini-2.0-flash-lite
0,"Consider this post: ""I don____ understand how I____ feeling and all I can describe it as is numbness but it____ past that point and I____e felt like this for a long time, I feel like I don____ belong to this life like it isn____ for me. I can____ see myself in any career, my own family my own little life I can____ see it , I____ so disconnected from social interaction I don____ leave my house much and the sad thing is as much as I hate it I don____ want to change it I have no motivation I____ so tired to the point I don____ see a point on living when I____ so tired I can____ do daily life like everyone. What is the point to this life? How do you really find happiness I feel nothing I get the occasional anger and I____ always Irritated but besides that I feel nothing and I hate it I can____ cry I can____ laugh I can____ feel anything"" Question: Does the physical wellness dimension exist in the post?",No,No
1,"Consider this post: ""I don____ understand how I____ feeling and all I can describe it as is numbness but it____ past that point and I____e felt like this for a long time, I feel like I don____ belong to this life like it isn____ for me. I can____ see myself in any career, my own family my own little life I can____ see it , I____ so disconnected from social interaction I don____ leave my house much and the sad thing is as much as I hate it I don____ want to change it I have no motivation I____ so tired to the point I don____ see a point on living when I____ so tired I can____ do daily life like everyone. What is the point to this life? How do you really find happiness I feel nothing I get the occasional anger and I____ always Irritated but besides that I feel nothing and I hate it I can____ cry I can____ laugh I can____ feel anything"" Question: Does the intellectual wellness dimension exist in the post?",No,No
2,"Consider this post: ""I hate every single thing about myself and I don't know how to stop. My looks, my personality, my body, my voice, everything I do makes me hate myself a little more. If i didn't have a family that loved me and if I had the guts then I wouldn't stick around. It's too painful to be in this state of mind all the time. I'm ruining my relationship with the love of my life because I hate myself so much that I can't bear to be intimate with him. I truly am disgusted by myself. I avoid showering because I feel like crying every time I look in the mirror. I need to know how to stop hating myself. My therapist tells me I need to learn self-compassion but I feel like that's literally impossible. Sorry, just need to get it all out but I really am at a loss. At this point it honestly blows my mind that there are people that actually like themselves. What I wouldn't give to feel that way."" Question: Does the spiritual wellness dimension exist in the post?",No,Yes
3,"Consider this post: ""I hate every single thing about myself and I don't know how to stop. My looks, my personality, my body, my voice, everything I do makes me hate myself a little more. If i didn't have a family that loved me and if I had the guts then I wouldn't stick around. It's too painful to be in this state of mind all the time. I'm ruining my relationship with the love of my life because I hate myself so much that I can't bear to be intimate with him. I truly am disgusted by myself. I avoid showering because I feel like crying every time I look in the mirror. I need to know how to stop hating myself. My therapist tells me I need to learn self-compassion but I feel like that's literally impossible. Sorry, just need to get it all out but I really am at a loss. At this point it honestly blows my mind that there are people that actually like themselves. What I wouldn't give to feel that way."" Question: Does the social wellness dimension exist in the post?",Yes,Yes
4,"Consider this post: ""I hate every single thing about myself and I don't know how to stop. My looks, my personality, my body, my voice, everything I do makes me hate myself a little more. If i didn't have a family that loved me and if I had the guts then I wouldn't stick around. It's too painful to be in this state of mind all the time. I'm ruining my relationship with the love of my life because I hate myself so much that I can't bear to be intimate with him. I truly am disgusted by myself. I avoid showering because I feel like crying every time I look in the mirror. I need to know how to stop hating myself. My therapist tells me I need to learn self-compassion but I feel like that's literally impossible. Sorry, just need to get it all out but I really am at a loss. At this point it honestly blows my mind that there are people that actually like themselves. What I wouldn't give to feel that way."" Question: Does the vocational wellness dimension exist in the post?",No,No
5,"Consider this post: ""So today in particular was a very bad day, I found out that my sister's husband beated my other sister who has been suffering from severe depression and he kept on calling her degrading terms (slut, bitch ) while my other sister is watching through the car, he also broke her phone, there were some 2 pieces of shit watching that didn't do anything, he also broke her expensive phone with all the data, I'm very angry and I think I might commit a murder I can't restrain myself. I also beated my father today because he said my sister deserves it Sorry I just don't have anyone to talk to about it"" Question: Does the social wellness dimension exist in the post?",Yes,Yes
6,"Consider this post: ""My dad has had a long history of cheating on my mom, every time though he always denies it. I don't understand it, what exactly is he protecting with his pride? Does he not see what's happening to my mom?! Everyday since Christmas, my mom has been on the verge of tears and my dad still either doesn't notice or doesn't care. The problem is that my mom and I are both powerless because my dad has us under his money. I don't know what to do anymore; we still haven't confronted him about it because (1) he'll just deny it and (2) it's his word against ours. My dads family is wealthy and they're all a bunch of fucking elitists and my dads family protects him like he's an angel. My aunt and brother, in the past, instead of going after my dad for his shit, they instead put all the blame on my mother. WHAT THE FUCK IS WRONG WIT PEOPLE?! My mother has been through 2 cancers and survived, had just retired form her stressful office space and now she's being treated like this by some shithead of a father?! Idk what else to do, I just recovered from my depression. I think I might go through with my promise and look for a gun this time around, it seems like a fair escape from all this shit."" Question: Does the emotional wellness dimension exist in the post?",Yes,Yes
7,"Consider this post: ""I'm not sure which is worse: to be completely physically alone or mentally alone despite there being physical presence. Although I don't have to pretend to be mentally okay when I'm on my own."" Question: Does the intellectual wellness dimension exist in the post?",No,No
8,"Consider this post: ""I'm not sure which is worse: to be completely physically alone or mentally alone despite there being physical presence. Although I don't have to pretend to be mentally okay when I'm on my own."" Question: Does the social wellness dimension exist in the post?",Yes,Yes
9,"Consider this post: ""I'm having such a hard time dealing with lack of focus in my entire life. It makes me feel like garbage and a waste of space to grace this planet. I swear everyone around me has passions and potential and a drive to succeed in one area or another yet I have taken such a long time to come to terms with myself and its still not there! I'm surrounded by confidence and go getters and i know deep down that i could go and try and do all of these things that i want to experience but when push comes to shove i find it impossible to justify it or sometimes even remember what it was i wanted to do. This lack of passion for life gets me down every bloody day and I just want it to go away so that i can become comfortable with myself and have an casual epiphany that will allow me to move on a get on with my life."" Question: Does the physical wellness dimension exist in the post?",No,No
