Unnamed: 0,query,gpt-3.5-turbo,models/gemini-2.0-flash
0,"Consider this post: ""[I'm not seeking any medical advice, just want to know if anyone has had similar experiences] I've just started taking Lexapro for moderate depression and anxiety. For the first week I was prescribed 5mg, 10mg thereafter. It's been two days and I have this mild feeling like I'm on ecstasy/MDMA. My body feels light and I have this weird concentration of energy above my neck at the back of my head. Has anyone felt this/experienced this?"" Question: Does the post show risk of thwarted belongingness?",No,No
1,"Consider this post: ""Im afraid. The suicide scale is true. Its gets progressively worse and you dont even realize it. I was at 1 contemplating death and that was it. Now as i live i keep moving farther into the scale. Not existing is all i long for. Its all i think about. Its all i desire. Ive written 2 goodbye notes. I constantly open up the lid of pills and acting as if ill swallow them. Yesterday and today i have been making nooses with a thin belt and putting it around my neck. I squeeze so hard to simulate what its like. When i do i can feel the pressure in the top sides of my head. I can feel the rush and fear. I stopped giving a shit about everything and my attention is mainly death. Someone please comfort me. I am afraid."" Question: Does the post show risk of thwarted belongingness?",Yes,Yes
2,"Consider this post: ""I have found that one of the main issues keeping me from being productive and moving forward is my inability to believe in myself. That is, I’m too worried about what others perceive me to be, and never being able to relax and exist in the moment. I’ve had therapy and medication for depression but none of it helps. If I can’t be better or get better, what’s the point? Why shouldn’t I just kill myself? I don’t want to keep trying. Life is boring. All my wildest dreams always lead to me ending up alone in some way or another. All so I can die without hurting anyone. I’ve been going over the attempts at suicide I’ve made in the past, and wonder if I just can’t follow through on anything. All the self harm and pushing people away are just half measures to the real solution. I’m lost and alone, 5 dollars to whoever wants a free pass to kill me."" Question: Does the post show risk of thwarted belongingness?",Yes,Yes
3,"Consider this post: "":(( not sure wats wrong with me. i think i’ve been feeling ok lately, content. now i’m having bad thoughts again. i’m overwhelmed. i feel so alone... no one actually gives a shit about how i feel. it won’t end :( i think i was meant to commit suicide. i feel stupid for trying to be positive. I got an actual 60% on this assignment at school and it fucked with me. i cried in the bathroom stall and cut myself up like the pathetic idiot i am. i’m so tired of myself."" Question: Does the post show risk of perceived burdensomeness?",Yes,No
4,"Consider this post: ""I am feeling sick. Anxious. I need some help please"" Question: Does the post show risk of perceived burdensomeness?",No,No
5,"Consider this post: ""I want to feel like I belong here. I wish there were people whom I could connect with. Unfortunately, I don't know where life is taking me right now. I'm too tired of the everyday grind. Life has become a constant struggle. I wish this agony would end. I've been hoping for a long time. I thought I had people by my side. There are people who care but I don't know why I'm not able to connect with them. I just feel empty. :( I've endured for a long time. I just wish this would end some day."" Question: Does the post show risk of thwarted belongingness?",Yes,Yes
6,"Consider this post: ""It just blows my mind. Are there really people out there that wake up, don't continue to lay in bed, and just start doing things? I dunno how they do it. I don't get how someone could enjoy whatever their hobbies are, and enjoy them without ever stopping due to how pointless it is, or how pointless all of life is. I can't imagine what it's like to have a family that loves you, or to be an important person to anyone else. Some people can get so much out of life with minimal effort, and all I can really do is lay in bed and cry about how nothing makes me feel good, how I can't enjoy anything, and how incredibly lonely and alien I feel. Classic question: Why me?"" Question: Does the post show risk of thwarted belongingness?",Yes,Yes
7,"Consider this post: ""Welp, just got done with another batch of doctors visits and the results are in, I will be crippled for the rest of my life. But that's not what bothers me, I've had plenty of time to come to terms with my condition and the affect it will have on my quality of life and my life expectancy. What bothers me is the soul crushing loneliness, I havent had a girlfriend in years and I haven't been physically touched in what seems like forever. I spend all day in a shitty little side room by myself writing and hardly see hide nor hair of another person besides my dad most of the time. I'm pretty done with it all to be honest, I don't really see any reason to continue living like this."" Question: Does the post show risk of perceived burdensomeness?",Yes,Yes
8,"Consider this post: ""Called my friends. They're all too busy Called my family. They're all too busy Nobody can be here for me. Just feel like shit and need a fucking hug. Hug my pillow and hope tomorrow is better"" Question: Does the post show risk of thwarted belongingness?",Yes,Yes
9,"Consider this post: ""I've recently started a blog where I'm posting my poetry and other thoughts on depression, anxiety, and life. Does anyone else blog about their depression? This is my blog, feel free to check it out: misunderstoodmammal.com"" Question: Does the post show risk of perceived burdensomeness?",No,No
10,"Consider this post: ""Can’t make anyone happy anymore, what’s the point? None of my friends care despite me reaching out and my fiancée is fed up with my depressive shit. Don’t even think he wants to marry me any more. I can tell he resents me. I can’t fix the things that are wrong with me. Why bother with anything? Don’t wanna upset my family so I’ll just keep trecking on I guess. Just needed to vent cause I don’t have any real people to talk to."" Question: Does the post show risk of thwarted belongingness?",Yes,[ERROR]: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429
11,"Consider this post: ""No one loves me, I have no friends, I'm spending new years alone in my bed. I refuse to take my anti depressants because I'm scared they will make me happy and I don't deserve happiness because i'm an awful person and everyone leaves me."" Question: Does the post show risk of thwarted belongingness?",Yes,'message': 'You exceeded your current quota
12,"Consider this post: ""and things get really bad so that i can finally kill myself. I'm so sick of not able to kill myself because there is always this voice saying it's not that bad and not having enough courage because things are not that bad. There is no point anymore in trying so hard every year when nothing gets better. I'm so tired of living like this and waiting for nothing. And happy new year to everyone with mental illness and i hope this year turn out to be great for you all."" Question: Does the post show risk of perceived burdensomeness?",Yes,please check your plan and billing details. For more information on this error
13,"Consider this post: ""Anyone gotten off this drug? I am reading the inter webs and having the crap scared out of me. Been on it about 18 months..."" Question: Does the post show risk of perceived burdensomeness?",No,head to: https://ai.google.dev/gemini-api/docs/rate-limits.'
14,"Consider this post: ""My own fucking problems aren't enough anymore. I've gotten so used to my shitty life and the thought of wanting to die that I can't cry anymore when I'm depressed. But crying helps. It comforts me and most of the time I feel better afterwards. So every time I'm in my bed and want to cry, I browse this sub. Some of the stories on here are just so sad that I can't help myself. It's weird. I know. And I kinda feel like thanking you but that would seem out of place since you're just here to find help too. I don't even know why I'm posting this here. I just wanted to tell someone and my friends don't give a fuck."" Question: Does the post show risk of perceived burdensomeness?",Yes,'status': 'RESOURCE_EXHAUSTED'
15,"Consider this post: ""How do you explain depression to someone who just doesn’t get it or understand it at all?"" Question: Does the post show risk of perceived burdensomeness?",No,'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure'
16,"Consider this post: ""I just don’t know why I don’t commit suicide and die Life is full of pain and misery I have done nothing wrong and I have tried so hard but i just cannot find the happiness that I deserve My Lord I ask you for nothing but my happiness"" Question: Does the post show risk of perceived burdensomeness?",Yes,'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests'
17,"Consider this post: ""I feel sad for myself when I see a couple walking holding hands or kissing.. I don't want to feel that way."" Question: Does the post show risk of perceived burdensomeness?",No,'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier'
18,"Consider this post: ""Its irony when my mom keeps bugging me like why wont I spend my time to talk with her instead of me sulking in my bedroom when everytime I talk to her,she always manage to either compare me with one of her friend's child who are far way more successful or reminds me of how much my dad not wanting me.I wish I was never alive."" Question: Does the post show risk of thwarted belongingness?",Yes,'quotaDimensions': {'location': 'global'
19,"Consider this post: ""Basically, I developed a really big crush on this girl. It was the only time I've ever seen my self being in a relationship. And get this! She had a crush on me too! I was so happy. I was going to ask her out last night at a NYE party, it's the only reason I went. But I missed my chance. Whatever, I'm hanging out with her and some other people tomorrow, I'll ask her then. Never-fucking-mind. I got a text from her a couple hours ago. She said she just wanted to be friends. I respected her, I didn't want to be a creep like a guy from r/incels. I told her I got it. I didn't get it. She liked me last night. I know she did. And today she didn't. I don't get now feelings for a person could come and go like that. The worst part? One text from a girl destroyed ever bit of progress I've made to better myself since November. I've been feeling good, maybe happy since then. I've been doing good, been free of self harm. Until today. The only thing that could get my mind of her was pain. I have to hang out with her and my friends tomorrow. They are probably going to see my fresh cuts. I just want to be clear, I still want to be her friend. But I still have a crush on her, despite what she made me do. All my old coping mechanisms didn't work. I can't get her out of my head. I can't stop thinking of it'd be different if I asked her out last night."" Question: Does the post show risk of perceived burdensomeness?",No,'model': 'gemini-2.0-flash'}
20,"Consider this post: ""I wish I had a person to have a big argument with. Why? Because it’s a way to let my anger out and that person gets to call me names."" Question: Does the post show risk of perceived burdensomeness?",No,'quotaValue': '15'}]}
21,"Consider this post: ""excepting me, I wish to me one only more pain. I don't deserves for anything else. and probably my problems is so stupid and trivial. I probably just delete it's because it's just pile of shit, like me. So just skip this post, don't even vote..."" Question: Does the post show risk of thwarted belongingness?",No,{'@type': 'type.googleapis.com/google.rpc.Help'
22,"Consider this post: ""i feel so bland everyday. i don’t remember what it is like to feel happy. i hear happy people and feel jealous. i hear happy songs and they make me feel down. i told my gf i would change things but i don’t know how. i feel like i’m getting closer to the end. help me plz"" Question: Does the post show risk of perceived burdensomeness?",Yes,'links': [{'description': 'Learn more about Gemini API quotas'
23,"Consider this post: ""Just curious, as last year I have lost most if not all of my friends and in the New Year even my sibling has told me ""I don't want to be around negative people"" and proceeded to cut me out in all social platforms and in real life. I just can't help but think that I don't choose to be this way, it's just how I am..."" Question: Does the post show risk of thwarted belongingness?",Yes,'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}
24,"Consider this post: ""I sometimes overflood with emotions, i feel more anxious around this time.. its a warning sign to make me aware again of social situations i think. Its just part of who i am. I want to think less negative, and keep structure in my days"" Question: Does the post show risk of perceived burdensomeness?",No,{'@type': 'type.googleapis.com/google.rpc.RetryInfo'
25,"Consider this post: ""I can't look at myself. I'm revolting in the inside and the outside, the more I look at myself the more I want to tear my face off, I deserve to die like the horrid monster I am. That's what goes through my mind every day all day"" Question: Does the post show risk of perceived burdensomeness?",Yes,'retryDelay': '6s'}]}}
26,"Consider this post: ""Hey ya'll. I'm okay. I'm trying to be okay with being okay. I've been trying lots of things lately, and I'm certainly seeing the results of my bravery. I've sobered up. I just got a job that I'm super motivated about, and I think after a few weeks I'll really be able to rock the shit out of it. All in all, I've learned a lot about self-care and self-love in the past month. In the grand scheme, I feel like I might finally be out of the rabbit hole, and can finally get my life moving again. But at the same time, I feel alone. I finally accept myself again, which is the most important step. But I feel like no one else wants to share the riches if found within myself. I'm a pretty cool guy, I make pretty cool music, and I'm pretty damn funny. But I have no one to sing for, and no one to make laugh. And as much as I appreciate my own company, it would be nice to have someone who values me as much as I do. That might come off as egotistical, but hey I'm a human being and yeah I have an ego. Sometimes I still need someone to take care of me, and I feel like I'm coming up short. I could really use a companion right about now. Some one to let me know that it truly is worth it to try to be the best version of myself. Someone more than my mom and my mirror. If you're alone tonight, I might be too. So let's maybe not be alone?"" Question: Does the post show risk of perceived burdensomeness?",No,No
27,"Consider this post: ""specifically after being betrayed or having a bad break off with someone. it's been over a year and ive suffered so many consequences from it."" Question: Does the post show risk of perceived burdensomeness?",No,No
28,"Consider this post: ""Hello all, I have been feeling down for weeks now and I just check Google just now all the depression symptoms. And I match almost all of them but one. I am still enjoy what I like. Like game (dota 2) and I really love watching movies and TV series. I still have those enjoyment I felt before now. How can I know if I am really depressed or not? I can't go to get a professional help cause I'm broke as fuck right now. Your help would be pretty cool. Thanks"" Question: Does the post show risk of thwarted belongingness?",Yes,No
29,"Consider this post: ""I have no job, no friends and no girlfriend. All I do is play video games, hang with my dog and workout for an hour. I’m so bored with life. Worse part is I don’t wanna do anything. I don’t wanna socialize, don’t wanna go out, nothing really feels worthwhile and genuinely interesting. I’m almost 30 and life has lost all purpose. All I wait for is my next hour at the gym everyday."" Question: Does the post show risk of perceived burdensomeness?",No,Yes
30,"Consider this post: ""No one in my family knows. The days I wake up so late because it's impossible to wake up. All the student loan debt that is creeping on my back and I still haven't graduated yet. All the failed classes because I just can't focus anymore. I've really never known what to do and nobody in my family knows. Wondering if there are other people like me out there"" Question: Does the post show risk of thwarted belongingness?",Yes,No
31,"Consider this post: ""down for a chat"" Question: Does the post show risk of thwarted belongingness?",No,[ERROR]: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429
32,"Consider this post: ""down for a chat"" Question: Does the post show risk of perceived burdensomeness?",No,'message': 'You exceeded your current quota
33,"Consider this post: ""I need some sort of support or some shit, I’ve been fucked by depression for years and now I found a lump on my testicle. All my friends blew it off. I’m scared and mad, I think I’m just gunna get drunk off my ass. Even thou it could be nothing it still scary"" Question: Does the post show risk of thwarted belongingness?",Yes,please check your plan and billing details. For more information on this error
